Iteration,Cost,Temperature,Sequence
0,62,1000,5 2 6 4 3 1
1,40,500,5 3 6 4 2 1
2,52,250,5 4 6 3 2 1
3,54,125,5 4 6 1 2 3
4,48,62.5,5 6 4 1 2 3
5,55,31.25,5 6 4 1 3 2
6,47,15.625,1 6 4 5 3 2
7,49,7.8125,6 1 4 5 3 2
8,53,3.90625,6 4 1 5 3 2
9,47,1.953125,6 4 1 2 3 5
10,63,0.9765625,6 4 1 3 2 5
11,57,0.4882813,6 4 2 3 1 5
12,43,0.2441406,6 4 2 1 3 5
13,43,0.1220703,6 5 2 1 3 4
14,41,0.06103516,6 5 1 2 3 4
15,41,0.03051758,6 5 1 2 3 4
16,41,0.01525879,6 5 1 2 3 4
17,41,0.007629395,6 5 1 2 3 4
18,37,0.003814697,6 5 3 2 1 4
19,33,0.001907349,6 5 3 1 2 4
20,33,0.0009536743,6 5 3 1 2 4
21,33,0.0004768372,3 5 6 1 2 4
22,33,0.0002384186,3 5 6 1 2 4
23,33,0.0001192093,3 5 6 1 2 4
24,33,5.960464E-05,3 5 6 1 2 4
25,33,2.980232E-05,3 5 6 1 2 4
26,33,1.490116E-05,3 5 6 1 2 4
27,33,7.450581E-06,3 5 6 1 2 4
28,33,3.72529E-06,3 5 6 1 2 4
29,33,1.862645E-06,6 5 3 1 2 4
30,33,1E-06,6 5 3 1 2 4
31,33,1E-06,6 5 3 1 2 4
32,33,1E-06,6 5 3 1 2 4
33,33,1E-06,6 5 3 1 2 4
34,33,1E-06,6 5 3 1 2 4
35,33,1E-06,6 5 3 1 2 4
36,33,1E-06,6 5 3 1 2 4
37,33,1E-06,6 5 3 1 2 4
38,33,1E-06,3 5 6 1 2 4
39,33,1E-06,3 5 6 1 2 4
40,33,1E-06,3 5 6 1 2 4
41,33,1E-06,3 5 6 1 2 4
42,33,1E-06,3 5 6 1 2 4
43,33,1E-06,6 5 3 1 2 4
44,33,1E-06,6 5 3 1 2 4
45,33,1E-06,6 5 3 1 2 4
46,33,1E-06,3 5 6 1 2 4
