Iteration,Cost,Sequence
0,55,3 2 1 6 4 5
1,55,3 2 1 6 4 5
2,55,3 2 1 6 4 5
3,48,6 2 4 5 3 1
4,42,5 4 2 1 6 3
5,42,5 4 2 1 6 3
6,40,1 2 5 6 4 3
7,40,1 2 5 6 4 3
8,40,1 2 5 6 4 3
9,40,1 2 5 6 4 3
10,38,1 6 5 2 4 3
11,38,1 6 5 2 4 3
12,38,1 6 5 2 4 3
13,38,1 6 5 2 4 3
14,35,6 3 5 1 2 4
15,35,6 3 5 1 2 4
16,35,6 3 5 1 2 4
17,35,6 3 5 1 2 4
18,35,6 3 5 1 2 4
19,35,6 3 5 1 2 4
20,35,6 3 5 1 2 4
21,35,6 3 5 1 2 4
22,35,6 3 5 1 2 4
23,35,6 3 5 1 2 4
24,35,6 3 5 1 2 4
25,35,6 3 5 1 2 4
26,35,6 3 5 1 2 4
27,35,6 3 5 1 2 4
28,35,6 3 5 1 2 4
29,35,6 3 5 1 2 4
30,35,6 3 5 1 2 4
31,35,6 3 5 1 2 4
32,35,6 3 5 1 2 4
33,35,6 3 5 1 2 4
34,35,6 3 5 1 2 4
35,35,6 3 5 1 2 4
36,35,6 3 5 1 2 4
37,35,6 3 5 1 2 4
38,35,6 3 5 1 2 4
39,35,6 3 5 1 2 4
40,35,6 3 5 1 2 4
41,35,6 3 5 1 2 4
42,35,6 3 5 1 2 4
43,35,6 3 5 1 2 4
44,35,6 3 5 1 2 4
45,35,6 3 5 1 2 4
46,35,6 3 5 1 2 4
47,35,6 3 5 1 2 4
48,35,6 3 5 1 2 4
49,35,6 3 5 1 2 4
50,35,6 3 5 1 2 4
51,35,6 3 5 1 2 4
52,35,6 3 5 1 2 4
53,35,6 3 5 1 2 4
54,35,6 3 5 1 2 4
55,33,6 5 3 1 2 4
56,33,6 5 3 1 2 4
57,33,6 5 3 1 2 4
58,33,6 5 3 1 2 4
59,33,6 5 3 1 2 4
60,33,6 5 3 1 2 4
