Iteration,Cost,Sequence
0,474,19 10 22 18 9 5 16 17 24 8 20 2 1 12 6 7 3 23 15 13 4 14 11 21
1,474,19 10 22 18 9 5 16 17 24 8 20 2 1 12 6 7 3 23 15 13 4 14 11 21
2,472,19 10 22 18 9 5 16 17 24 8 20 2 1 12 6 7 3 23 15 13 11 14 4 21
3,462,19 10 22 18 9 5 16 17 24 8 1 2 20 12 6 7 3 23 15 13 11 14 4 21
4,462,19 10 22 18 9 5 16 17 24 8 1 2 20 12 6 7 3 23 15 13 11 14 4 21
5,462,19 10 22 18 5 9 16 17 24 8 1 2 20 12 6 7 3 23 15 13 11 14 4 21
6,462,19 10 22 18 5 9 16 17 24 8 1 2 20 12 6 7 3 23 15 13 11 14 4 21
7,442,19 10 22 18 5 9 16 17 24 8 1 2 4 12 6 7 3 23 15 13 11 14 20 21
8,428,19 10 22 18 8 9 16 17 24 5 1 2 4 12 6 7 3 23 15 13 11 14 20 21
9,428,9 10 22 18 8 19 16 17 24 5 1 2 4 12 6 7 3 23 15 13 11 14 20 21
10,428,9 10 22 18 8 19 16 17 24 5 1 2 4 12 6 7 3 23 15 13 11 14 20 21
11,428,9 10 22 18 8 19 16 17 24 5 1 2 4 12 6 7 3 23 15 13 11 14 20 21
12,428,9 10 22 18 8 19 16 17 24 5 1 2 4 12 6 7 3 23 15 13 11 14 20 21
13,428,9 10 22 18 8 19 16 17 24 5 1 2 4 12 6 7 3 23 15 13 11 14 20 21
14,428,9 10 22 18 8 19 16 17 24 5 1 2 4 12 6 7 3 23 15 13 11 14 20 21
15,428,9 10 22 18 8 19 16 17 24 5 1 2 4 12 6 7 3 23 15 13 11 14 20 21
16,378,9 10 22 18 23 19 16 17 24 5 1 2 4 12 6 7 3 8 15 13 11 14 20 21
17,378,9 10 22 18 23 19 16 17 24 5 1 2 4 12 6 7 3 8 15 13 11 14 20 21
18,378,9 10 22 18 23 19 16 17 24 5 1 2 4 12 6 7 3 8 15 13 11 14 20 21
19,378,9 10 22 18 23 19 16 17 24 5 1 2 4 12 6 7 3 8 15 13 11 14 20 21
20,378,9 10 22 18 23 19 16 17 24 5 1 2 4 12 6 7 3 8 15 13 11 14 20 21
21,378,9 10 22 18 23 19 16 17 24 5 1 2 4 12 6 7 3 8 15 13 11 14 20 21
22,368,9 10 22 18 23 19 16 21 24 5 1 2 4 12 6 7 3 8 15 13 11 14 20 17
23,368,9 10 22 18 23 19 16 21 24 5 1 2 4 12 6 7 3 8 15 13 11 14 20 17
24,368,9 10 22 18 23 19 16 21 24 5 1 2 4 12 6 7 3 8 15 13 11 14 20 17
25,368,9 10 22 18 23 19 16 21 24 5 1 2 4 12 6 7 3 8 15 13 11 14 20 17
26,368,9 10 22 18 23 19 16 21 24 5 1 2 4 12 6 7 3 8 15 13 11 14 20 17
27,368,9 10 22 18 23 19 16 21 24 5 1 2 4 12 6 7 3 8 15 13 11 14 20 17
28,368,9 10 22 18 23 19 16 21 24 5 1 2 4 12 6 7 3 8 15 13 11 14 20 17
29,368,9 10 22 18 23 19 16 21 24 5 1 2 4 12 6 7 3 8 15 13 11 14 20 17
30,368,9 10 22 18 23 19 16 21 24 5 1 2 4 12 6 7 3 8 15 13 11 14 20 17
31,368,9 10 22 18 23 19 16 21 24 5 1 2 4 12 6 7 3 8 15 13 11 14 20 17
32,368,9 10 22 18 23 19 16 21 24 5 1 2 4 12 6 7 3 8 15 13 11 14 20 17
